rank,market_id,question,bucket,period,p_open,p_event,p_resolve,ils_dl_raw,ils_dl_adj,tau_days,volume_usdc,diagnostic_flag,llm_confidence,llm_reasoning
11,0x552a62725a2b6a95e8,MicroStrategy announces >1000 BTC purchase February 17-23?,regulatory_formal,post_2024,0.57,0.096,1,-1.1023,-0.4713,0.77,115088.016488,plausible_leakage,0.72,"Price fell sharply from 0.570 to 0.096 pre-event (83% decline in 0.8 days), then resolved YES=1. The raw ILS^dl of -1.10 indicates the pre-event move accounted for >100% of total directional movement, suggesting informed traders moved price toward the eventual outcome well before the announcement window. Hazard-adjusted ILS^dl (-0.47) remains substantially negative, indicating this was not purely mechanical deadline decay. The magnitude and timing of pre-event repricing is consistent with leakage of MicroStrategy's purchase intentions."
12,0xe23452c2b953c4aea3,"Will Gold (GC) hit (HIGH) $5,300 by end of February?",regulatory_announcement,post_2024,0.56,0.023,1,-1.2205,-0.9912,2.09,64921.156883,plausible_leakage,0.75,"Price collapsed from 0.560 to 0.023 (95.9% decline) in only 2.1 days before resolution to YES (1.0). The raw ILS^dl of -1.22 indicates the pre-event period captured more than 100% of the total directional move, with hazard-adjusted ILS^dl of -0.99 remaining deeply negative even after accounting for deadline effects. This sharp reversal against the eventual outcome before the event occurred, combined with the compressed timeframe and extreme magnitude, is more consistent with informed traders exiting long positions or shorting ahead of adverse information rather than mechanical deadline decay. The market's expectation clearly shifted pessimistically pre-event despite resolving YES."
13,0x03f39d85204b248074,Will GPT-5 be released by August 15?,other,post_2024,0.595,0.0185,1,-1.4235,-1.2439,12.13,876823.2413,plausible_leakage,0.78,"Price collapsed from 0.595 to 0.018 (97% decline) over 12.1 days pre-event, then resolved YES. The sharp, sustained directional move toward the correct outcome before resolution, combined with negative ILS^dl values (-1.42 raw, -1.24 hazard-adjusted) indicating the pre-event period accounted for more than 100% of total directional move, suggests informed flow or leaked information. The magnitude and timing are inconsistent with passive deadline decay, which would produce gradual compression. However, confidence is moderate (not high) because a single market cannot definitively rule out coincidental analysis or outcome-dependent selection bias."
14,0x961ee2529ff3c3b27a,Will Daniel Noboa win the 2025 Ecuadorian Presidential Election? ,regulatory_announcement,post_2024,0.6,0.0136,1,-1.4659,-1.4575,138.11,1360386.018944,plausible_leakage,0.85,"Market opened at 0.600 (moderate yes-belief) and collapsed to 0.014 (near zero) before event, then resolved YES (1.0). The dramatic pre-event price decline of ~97.7% followed by resolution to the opposite direction suggests either: (1) informed traders with negative information caused sharp selloff that proved wrong, or (2) systematic underestimation corrected at resolution. The ILS^dl of -1.46 indicates the entire move occurred pre-event with significant overshoot relative to final outcome. While this could reflect rational updating on new information closer to event date, the magnitude and direction (crashing then resolving opposite) is more consistent with informed flow that misread the outcome or market inefficiency than with simple deadline decay. The hazard-adjusted ILS^dl remaining similarly negative confirms this pattern is robust."
15,0x787a74aefcbdd86a88,Will WTI Crude Oil (WTI) hit (HIGH) $90 in April?,regulatory_announcement,post_2024,0.6,0.006,1,-1.485,-1.3809,6.83,212089.734088,plausible_leakage,0.78,"Price collapsed from 0.600 to 0.006 over 6.8 days pre-event, then resolved YES (1.0). The massive 99% decline before the event, combined with correct resolution, suggests informed traders positioned ahead of the April event. Raw ILS^dl of -1.485 indicates the majority of the total move occurred pre-event rather than at resolution. Hazard-adjusted ILS^dl (-1.381) remains substantially negative, ruling out pure mechanical deadline decay. The sharp directional move toward the true outcome in the days leading to the event is consistent with informed flow rather than random walk behavior."
16,0x04a1462e83c415194a,Will Jeannette Jara win the 1st round of the 2025 Chilean presidential election?,regulatory_announcement,post_2024,0.6,0.0039,1,-1.4902,-1.4619,104.21,1308119.353507,plausible_leakage,0.85,"Price collapsed from 0.600 to 0.004 (99.3% decline) over 104.2 days, with ILS^dl of -1.49, indicating the overwhelming majority of the move occurred pre-event rather than at resolution. The extreme pre-event decline to nearly 0 followed by resolution to 1 (YES) is atypical of rational decay. The sharp, sustained move away from the opening anchor toward the actual outcome, despite the outcome being YES, suggests informed traders were adjusting positions based on private information about Jara's actual first-round performance, making this consistent with informed leakage rather than mechanical deadline effects."
17,0x8e3fcca11554c30c3d,Will Laura Virginia Fernández Delgado win the 2026 Costa Rican presidential election?,regulatory_announcement,post_2024,0.7095,0.09,1,-2.1328,-2.0063,81.32,1962514.698244,plausible_leakage,0.82,"Market opened at 0.710 (candidate given 71% win probability), then declined sharply to 0.090 (9%) pre-event, yet resolved YES (1). The large negative ILS^dl (-2.13, -2.01 hazard-adjusted) indicates the substantial pre-event price decline accounts for more than the full ultimate move, which is characteristic of informed traders selling down the market before the actual outcome became public. The sharp directional reversal (decline followed by resolution at 1) and the magnitude of pre-event movement relative to final outcome strongly suggests informed flow rather than mechanical decay or ambiguous anchoring."
18,0xefa2054d10d6b2f452,"Will Gold (GC) hit (LOW) $4,700 by end of February?",regulatory_announcement,post_2024,0.69,0.003,1,-2.2161,-2.0999,7.09,708978.896075,plausible_leakage,0.82,"Price collapsed from 0.690 to 0.003 over 7.1 days pre-event, then resolved YES (1.0). The extreme negative ILS^dl (-2.2161) indicates the vast majority of the price move occurred before the triggering event, inconsistent with rational deadline decay. The sharp directional move toward the actual outcome (price fell anticipating a YES resolution) within a compressed timeframe is consistent with informed flow discovering that gold would not hit $4,700 by end of February. Hazard-adjusted ILS^dl remains substantially negative (-2.0999), reinforcing that pre-event price action drove the move rather than mechanical deadline effects."
19,0x092b6597a69cc4ae5a,Will Silver (SI) hit (LOW) $75 by end of February?,regulatory_formal,post_2024,0.75,0.001,1,-2.996,-2.9217,22.2,917822.598431,plausible_leakage,0.85,"Price collapsed from 0.750 to 0.001 pre-event (99.9% decline over 22.2 days), then resolved YES (1.0). The massive pre-event move toward the outcome, combined with a large negative ILS^dl (-2.9960), indicates the market incorporated information before formal resolution. The hazard-adjusted ILS^dl (-3.0217) remains strongly negative, ruling out rational deadline decay. This pattern is consistent with informed trading detecting that silver would not hit $75, causing informed sellers to drive the price down sharply ahead of the official event."
20,0xac7f91e9f5b7dd5839,Will Prince Andrew be named in newly released Epstein files?,regulatory_formal,post_2024,0.8858,0.001,1,-7.7496,-7.7369,36.06,65857.718882,plausible_leakage,0.85,"Price collapsed from 0.886 to 0.001 over 36 days pre-event, then resolved YES (1.0). The extreme negative ILS^dl (-7.75) indicates the vast majority of the move occurred before the event, inconsistent with mechanical deadline decay. This sharp, directional pre-event decline toward the eventual YES outcome is consistent with informed traders acting on knowledge of the upcoming file release. The hazard-adjusted metric confirms this is not merely deadline-induced volatility."
