market_id,question,pass1_date,pass1_sources,pass2_date,pass2_sources,severity_class
0xda55ed77fe9a1a5fede20c01f686f6ec22ee8d3ba2ad693db85c595890522b9f,Will no CEO be announced in 2025?,2025-11-24,,2025-07-09,X (Linda Yaccarino's post @lindayaX); CNN; Al Jazeera,major
0xdd1101f985c5649c070c0acc370e72d48a1117a2d4775fd060526771c4c38e41,MicroStrategy announces >1000 BTC purchase April 7-13?,2026-04-07,,2026-04-13,CoinDesk; Bitcoin Magazine; CryptoTimes,minor
0x05d769a6ba5ac64ae196ff0120bb7400b6697a5cf94573f364d35cc28dbfa22d,Kamala flips a 2020 Trump state?,2024-11-05,https://apnews.com/projects/election-results-2024/; https://www.nbcnews.com/news/amp/rcna173815; https://www.adweek.com/tvnewser/election-night-battleground-states-network-airtimes/,,Wikipedia - 2024 U.S. Presidential Election; Council on Foreign Relations - 2024 Election Numbers; NBC News - 2024 Election Results,unknown
0x7d5fa6db264ac92e573ea7066280ab7794819a257320a02286bc2f92fe943230,Will Joe Biden be named in newly released Epstein files?,2025-12-23,,2026-01-30,Wikipedia - Epstein files; WION News; Department of Justice,major
0x158fcb0b8844c9cdecb95940a3a1a643799ab8d03f6234d449ff344e4bafad6c,Kamala Harris wins a solid red state?,2024-11-05,https://www.kxan.com/news/your-local-election-hq/2024-presidential-election-night-timeline/; https://www.adweek.com/tvnewser/election-night-battleground-states-network-airtimes/; https://www.foxnews.com/elections/2024/general-results,,Wikipedia 2024 US Presidential Election; NBC News; CNN,unknown
0x91ea361f8eba82f49add1e92a2ba5a035d6a2da8b59fab2807bd1042e6614671,"Will Demi Moore win Best Actor at the 2025 SAG Award for ""The Substance""?",2025-02-23,,2025-02-24,Wikipedia - 31st Screen Actors Guild Awards; SAG-AFTRA Official; CNN,minor
0x940dcb3b8d94c9325d574b277fad827b8c73985f79eceb8f3f37fc8c9c7fa413,Will the Democratic candidate win Pennsylvania by 2.5% or more?,2024-12-04,https://www.pa.gov/agencies/dos/newsroom/governor-shapiro-certifies-2024-presidential-election-results; https://www.votebeat.org/pennsylvania/2024/12/04/state-election-results-certification-secretary-schmidt-vote-turnout/; https://www.spotlightpa.org/news/2024/12/pennsylvania-election-2024-certification-donald-trump-presidential-winners/,2024-11-05,WHYY Pennsylvania election coverage; ABC27 Pennsylvania election information; NBC News Pennsylvania 2024 election coverage,major
0x54c21fc36ef805f1399928af4a91b7e3ec9517b19741d1f7dfba3f0d894a7fc6,Will Jay-Z be named in newly released Epstein files?,2025-01-15,,2026-01-30,LADbible; Shatter the Standards; Yahoo Entertainment,major
0xfa1543cdef36d55ef9126aaab6015c7c7ed5aa6a2bb5be355f5cacc2302c7374,Will Ehud Barak be named in newly released Epstein files?,2025-12-23,,2025-12-18,Times of Israel; JNS.org; CBC News,minor
0x6a0355dd73ae1714c2d791cb8cff6304791249fa27ad2bac9e09a2591c2992ff,Will Liquid win CS:GO BLAST Premier Fall Final 2024?,2024-09-27,https://www.hltv.org/matches/2375774/faze-vs-liquid-blast-premier-fall-final-2024; https://www.strafe.com/match/team-liquid-vs-faze-clan-quarterfinal-2024-blast-premier-fall-final-b73a80/; https://blast.tv/cs/news/faze-blitz-liquid,,BLAST.tv; HLTV.org; GINX TV,unknown
0x9fd256d11b5ccaf11bfc213e2c01cb5b5d7cfc090bf9ff102d429897d590c076,Will Gemini 3.0 be released by December 31?,2025-11-10,,2025-11-18,CNBC; InfoQ; Google Official Blog (blog.google),major
0xbcde2c99e190f1ddab22bfde03041c6910d8f213fc489e59b29048bd477af7b8,Trump flips Kamala on Silver Bulletin before the election?,2024-10-16,,2024-10-17,The Hill; Newsweek; natesilver.net,minor
0x4e576390d1e1279fbefde42d24d192817787bd57ed1f3245a780dcf9894f6976,Will Gemini 3.0 be released by November 30?,2024-12-19,,2025-11-18,CNBC; TechCrunch; InfoQ,major
0x86cdc152d13c1570425ea32f8044b128bbaff9d80c9ccf71e6495e1e4942670d,Will another team win ESL Challenger Atlanta 2024?,2024-10-06,https://www.hltv.org/matches/2376312/flyquest-vs-big-esl-challenger-atlanta-2024; https://www.dust2.us/matches/2376312/flyquest-vs-big; https://egamersworld.com/counterstrike/event/esl-challenger-dreamhack-atlanta-2024-UJjaN-6L9S,2024-10-07,Liquipedia (liquipedia.net); Strafe Esports (strafe.com); Dust2.us (dust2.us),minor
